sim_time,frame,active_count,alarm_count,conflict_count
70.0,140,4,1,0
70.5,141,4,1,0
71.0,142,4,1,0
71.5,143,4,1,0
72.0,144,4,1,0
72.5,145,4,1,0
73.0,146,4,1,0
73.5,147,4,1,0
74.0,148,4,1,0
74.5,149,4,1,0
75.0,150,4,1,0
75.5,151,4,1,0
76.0,152,4,1,0
76.5,153,4,1,0
77.0,154,4,1,0
77.5,155,4,1,0
78.0,156,4,1,0
78.5,157,4,1,0
79.0,158,4,1,0
79.5,159,4,1,0
80.0,160,4,1,0
80.5,161,4,1,0
81.0,162,4,1,0
81.5,163,4,1,0
82.0,164,4,1,0
82.5,165,4,1,0
83.0,166,4,1,0
83.5,167,4,1,0
84.0,168,4,1,0
84.5,169,4,1,0
85.0,170,4,1,0
85.5,171,4,1,0
86.0,172,4,1,0
86.5,173,4,1,0
87.0,174,4,1,0
87.5,175,4,1,0
88.0,176,4,1,0
88.5,177,4,1,0
89.0,178,4,1,0
89.5,179,4,1,0
90.0,180,4,1,0
90.5,181,4,1,0
91.0,182,3,2,0
91.5,183,3,2,0
92.0,184,3,2,0
92.5,185,3,2,0
93.0,186,3,2,0
93.5,187,3,2,0
94.0,188,3,2,0
94.5,189,3,2,0
95.0,190,3,2,0
95.5,191,3,2,0
96.0,192,3,2,0
96.5,193,3,2,0
97.0,194,3,2,0
97.5,195,3,2,0
98.0,196,3,2,0
98.5,197,3,2,0
99.0,198,3,2,0
99.5,199,3,2,0
100.0,200,3,2,0
100.5,201,3,2,0
101.0,202,3,2,0
101.5,203,3,2,0
102.0,204,3,2,0
102.5,205,3,2,0
103.0,206,3,2,0
103.5,207,3,2,0
104.0,208,3,2,0
104.5,209,3,2,0
105.0,210,3,2,0
105.5,211,3,2,0
106.0,212,3,2,0
106.5,213,3,2,0
107.0,214,3,2,0
107.5,215,3,2,0
108.0,216,3,2,0
108.5,217,3,2,0
109.0,218,3,2,0
109.5,219,3,2,0
110.0,220,3,2,0
110.5,221,3,2,0
111.0,222,3,2,0
111.5,223,3,2,0
112.0,224,3,2,0
112.5,225,3,2,0
113.0,226,3,2,0
113.5,227,3,2,0
114.0,228,3,2,0
114.5,229,3,2,0
115.0,230,3,2,0
115.5,231,3,2,0
116.0,232,3,2,0
116.5,233,3,2,0
117.0,234,3,2,0
117.5,235,3,2,0
118.0,236,3,2,0
118.5,237,3,2,0
119.0,238,3,2,0
119.5,239,3,2,0
120.0,240,3,2,0
120.5,241,3,2,0
121.0,242,3,2,0
121.5,243,3,2,0
122.0,244,3,2,0
122.5,245,3,2,0
123.0,246,3,2,0
123.5,247,3,2,0
124.0,248,3,2,0
124.5,249,3,2,0
125.0,250,3,2,0
125.5,251,3,2,0
126.0,252,3,2,0
126.5,253,3,2,0
127.0,254,3,2,0
127.5,255,3,2,0
128.0,256,3,2,0
128.5,257,3,2,0
129.0,258,3,2,0
129.5,259,3,2,0
130.0,260,3,2,0
130.5,261,3,2,0
131.0,262,3,2,0
131.5,263,3,2,0
132.0,264,3,2,0
132.5,265,3,2,0
133.0,266,3,2,0
133.5,267,3,2,0
134.0,268,2,3,0
134.5,269,2,3,0
135.0,270,2,3,0
135.5,271,2,3,0
136.0,272,2,3,0
136.5,273,2,3,0
137.0,274,2,3,0
137.5,275,2,3,0
138.0,276,2,3,0
138.5,277,2,3,0
139.0,278,2,3,0
139.5,279,2,3,0
140.0,280,2,3,0
140.5,281,2,3,0
141.0,282,2,3,0
141.5,283,2,3,0
142.0,284,2,3,0
142.5,285,2,3,0
143.0,286,2,3,0
143.5,287,2,3,0
144.0,288,2,3,0
144.5,289,2,3,0
145.0,290,2,3,0
145.5,291,2,3,0
146.0,292,2,3,0
146.5,293,2,3,0
147.0,294,2,3,0
147.5,295,2,3,0
148.0,296,2,3,0
148.5,297,2,3,0
149.0,298,2,3,0
149.5,299,2,3,0
150.0,300,2,3,0
150.5,301,2,3,0
151.0,302,2,3,0
151.5,303,2,3,0
152.0,304,2,3,0
152.5,305,2,3,0
153.0,306,2,3,0
153.5,307,2,3,0
154.0,308,2,3,0
154.5,309,1,4,0
155.0,310,1,4,0
155.5,311,0,5,0
