alarm_id,alarm_level,uav_id,reason,area_id,sim_time
ALM_00129,3,UAV_004,enter_no_fly_area,AREA_002,64.0
ALM_00130,3,UAV_004,enter_no_fly_area,AREA_002,64.5
ALM_00131,3,UAV_004,enter_no_fly_area,AREA_002,65.0
ALM_00132,3,UAV_004,enter_no_fly_area,AREA_002,65.5
ALM_00133,3,UAV_004,enter_no_fly_area,AREA_002,66.0
ALM_00134,3,UAV_004,enter_no_fly_area,AREA_002,66.5
ALM_00135,3,UAV_004,enter_no_fly_area,AREA_002,67.0
ALM_00136,3,UAV_004,enter_no_fly_area,AREA_002,67.5
ALM_00137,3,UAV_004,enter_no_fly_area,AREA_002,68.0
ALM_00138,3,UAV_004,enter_no_fly_area,AREA_002,68.5
ALM_00139,3,UAV_004,enter_no_fly_area,AREA_002,69.0
ALM_00140,3,UAV_004,enter_no_fly_area,AREA_002,69.5
ALM_00141,3,UAV_004,enter_no_fly_area,AREA_002,70.0
ALM_00142,3,UAV_004,enter_no_fly_area,AREA_002,70.5
ALM_00143,3,UAV_004,enter_no_fly_area,AREA_002,71.0
ALM_00144,3,UAV_004,enter_no_fly_area,AREA_002,71.5
ALM_00145,3,UAV_004,enter_no_fly_area,AREA_002,72.0
ALM_00146,3,UAV_004,enter_no_fly_area,AREA_002,72.5
ALM_00147,3,UAV_004,enter_no_fly_area,AREA_002,73.0
ALM_00148,3,UAV_004,enter_no_fly_area,AREA_002,73.5
ALM_00149,3,UAV_004,enter_no_fly_area,AREA_002,74.0
ALM_00150,3,UAV_004,enter_no_fly_area,AREA_002,74.5
ALM_00151,3,UAV_004,enter_no_fly_area,AREA_002,75.0
ALM_00152,3,UAV_004,enter_no_fly_area,AREA_002,75.5
ALM_00153,3,UAV_004,enter_no_fly_area,AREA_002,76.0
ALM_00154,3,UAV_004,enter_no_fly_area,AREA_002,76.5
ALM_00155,3,UAV_004,enter_no_fly_area,AREA_002,77.0
ALM_00156,3,UAV_004,enter_no_fly_area,AREA_002,77.5
ALM_00157,3,UAV_004,enter_no_fly_area,AREA_002,78.0
ALM_00158,3,UAV_004,enter_no_fly_area,AREA_002,78.5
ALM_00159,3,UAV_004,enter_no_fly_area,AREA_002,79.0
ALM_00160,3,UAV_004,enter_no_fly_area,AREA_002,79.5
ALM_00161,3,UAV_004,enter_no_fly_area,AREA_002,80.0
ALM_00162,3,UAV_004,enter_no_fly_area,AREA_002,80.5
ALM_00163,3,UAV_004,enter_no_fly_area,AREA_002,81.0
ALM_00164,3,UAV_004,enter_no_fly_area,AREA_002,81.5
ALM_00165,3,UAV_004,enter_no_fly_area,AREA_002,82.0
ALM_00166,3,UAV_004,enter_no_fly_area,AREA_002,82.5
ALM_00167,3,UAV_004,enter_no_fly_area,AREA_002,83.0
ALM_00168,3,UAV_004,enter_no_fly_area,AREA_002,83.5
ALM_00169,3,UAV_004,enter_no_fly_area,AREA_002,84.0
ALM_00170,3,UAV_004,enter_no_fly_area,AREA_002,84.5
ALM_00171,3,UAV_004,enter_no_fly_area,AREA_002,85.0
ALM_00172,3,UAV_004,enter_no_fly_area,AREA_002,85.5
ALM_00173,3,UAV_004,enter_no_fly_area,AREA_002,86.0
ALM_00174,3,UAV_004,enter_no_fly_area,AREA_002,86.5
ALM_00175,3,UAV_004,enter_no_fly_area,AREA_002,87.0
ALM_00176,3,UAV_004,enter_no_fly_area,AREA_002,87.5
ALM_00177,3,UAV_004,enter_no_fly_area,AREA_002,88.0
ALM_00178,3,UAV_004,enter_no_fly_area,AREA_002,88.5
ALM_00179,3,UAV_004,enter_no_fly_area,AREA_002,89.0
ALM_00180,3,UAV_004,enter_no_fly_area,AREA_002,89.5
ALM_00181,3,UAV_004,enter_no_fly_area,AREA_002,90.0
ALM_00182,3,UAV_004,enter_no_fly_area,AREA_002,90.5
ALM_00183,3,UAV_003,enter_no_fly_area,AREA_002,91.0
ALM_00184,3,UAV_004,enter_no_fly_area,AREA_002,91.0
ALM_00185,3,UAV_003,enter_no_fly_area,AREA_002,91.5
ALM_00186,3,UAV_004,enter_no_fly_area,AREA_002,91.5
ALM_00187,3,UAV_003,enter_no_fly_area,AREA_002,92.0
ALM_00188,3,UAV_004,enter_no_fly_area,AREA_002,92.0
ALM_00189,3,UAV_003,enter_no_fly_area,AREA_002,92.5
ALM_00190,3,UAV_004,enter_no_fly_area,AREA_002,92.5
ALM_00191,3,UAV_003,enter_no_fly_area,AREA_002,93.0
ALM_00192,3,UAV_004,enter_no_fly_area,AREA_002,93.0
ALM_00193,3,UAV_003,enter_no_fly_area,AREA_002,93.5
ALM_00194,3,UAV_004,enter_no_fly_area,AREA_002,93.5
ALM_00195,3,UAV_003,enter_no_fly_area,AREA_002,94.0
ALM_00196,3,UAV_004,enter_no_fly_area,AREA_002,94.0
ALM_00197,3,UAV_003,enter_no_fly_area,AREA_002,94.5
ALM_00198,3,UAV_004,enter_no_fly_area,AREA_002,94.5
ALM_00199,3,UAV_003,enter_no_fly_area,AREA_002,95.0
ALM_00200,3,UAV_004,enter_no_fly_area,AREA_002,95.0
ALM_00201,3,UAV_003,enter_no_fly_area,AREA_002,95.5
ALM_00202,3,UAV_004,enter_no_fly_area,AREA_002,95.5
ALM_00203,3,UAV_003,enter_no_fly_area,AREA_002,96.0
ALM_00204,3,UAV_004,enter_no_fly_area,AREA_002,96.0
ALM_00205,3,UAV_003,enter_no_fly_area,AREA_002,96.5
ALM_00206,3,UAV_004,enter_no_fly_area,AREA_002,96.5
ALM_00207,3,UAV_003,enter_no_fly_area,AREA_002,97.0
ALM_00208,3,UAV_004,enter_no_fly_area,AREA_002,97.0
ALM_00209,3,UAV_003,enter_no_fly_area,AREA_002,97.5
ALM_00210,3,UAV_004,enter_no_fly_area,AREA_002,97.5
ALM_00211,3,UAV_003,enter_no_fly_area,AREA_002,98.0
ALM_00212,3,UAV_004,enter_no_fly_area,AREA_002,98.0
ALM_00213,3,UAV_003,enter_no_fly_area,AREA_002,98.5
ALM_00214,3,UAV_004,enter_no_fly_area,AREA_002,98.5
ALM_00215,3,UAV_003,enter_no_fly_area,AREA_002,99.0
ALM_00216,3,UAV_004,enter_no_fly_area,AREA_002,99.0
ALM_00217,3,UAV_003,enter_no_fly_area,AREA_002,99.5
ALM_00218,3,UAV_004,enter_no_fly_area,AREA_002,99.5
ALM_00219,3,UAV_003,enter_no_fly_area,AREA_002,100.0
ALM_00220,3,UAV_004,enter_no_fly_area,AREA_002,100.0
ALM_00221,3,UAV_003,enter_no_fly_area,AREA_002,100.5
ALM_00222,3,UAV_004,enter_no_fly_area,AREA_002,100.5
ALM_00223,3,UAV_003,enter_no_fly_area,AREA_002,101.0
ALM_00224,3,UAV_004,enter_no_fly_area,AREA_002,101.0
ALM_00225,3,UAV_003,enter_no_fly_area,AREA_002,101.5
ALM_00226,3,UAV_004,enter_no_fly_area,AREA_002,101.5
ALM_00227,3,UAV_003,enter_no_fly_area,AREA_002,102.0
ALM_00228,3,UAV_004,enter_no_fly_area,AREA_002,102.0
ALM_00229,3,UAV_003,enter_no_fly_area,AREA_002,102.5
ALM_00230,3,UAV_004,enter_no_fly_area,AREA_002,102.5
ALM_00231,3,UAV_003,enter_no_fly_area,AREA_002,103.0
ALM_00232,3,UAV_004,enter_no_fly_area,AREA_002,103.0
ALM_00233,3,UAV_003,enter_no_fly_area,AREA_002,103.5
ALM_00234,3,UAV_004,enter_no_fly_area,AREA_002,103.5
ALM_00235,3,UAV_003,enter_no_fly_area,AREA_002,104.0
ALM_00236,3,UAV_004,enter_no_fly_area,AREA_002,104.0
ALM_00237,3,UAV_003,enter_no_fly_area,AREA_002,104.5
ALM_00238,3,UAV_004,enter_no_fly_area,AREA_002,104.5
ALM_00239,3,UAV_003,enter_no_fly_area,AREA_002,105.0
ALM_00240,3,UAV_004,enter_no_fly_area,AREA_002,105.0
ALM_00241,3,UAV_003,enter_no_fly_area,AREA_002,105.5
ALM_00242,3,UAV_004,enter_no_fly_area,AREA_002,105.5
ALM_00243,3,UAV_003,enter_no_fly_area,AREA_002,106.0
ALM_00244,3,UAV_004,enter_no_fly_area,AREA_002,106.0
ALM_00245,3,UAV_003,enter_no_fly_area,AREA_002,106.5
ALM_00246,3,UAV_004,enter_no_fly_area,AREA_002,106.5
ALM_00247,3,UAV_003,enter_no_fly_area,AREA_002,107.0
ALM_00248,3,UAV_004,enter_no_fly_area,AREA_002,107.0
ALM_00249,3,UAV_003,enter_no_fly_area,AREA_002,107.5
ALM_00250,3,UAV_004,enter_no_fly_area,AREA_002,107.5
ALM_00251,3,UAV_003,enter_no_fly_area,AREA_002,108.0
ALM_00252,3,UAV_004,enter_no_fly_area,AREA_002,108.0
ALM_00253,3,UAV_003,enter_no_fly_area,AREA_002,108.5
ALM_00254,3,UAV_004,enter_no_fly_area,AREA_002,108.5
ALM_00255,3,UAV_003,enter_no_fly_area,AREA_002,109.0
ALM_00256,3,UAV_004,enter_no_fly_area,AREA_002,109.0
ALM_00257,3,UAV_003,enter_no_fly_area,AREA_002,109.5
ALM_00258,3,UAV_004,enter_no_fly_area,AREA_002,109.5
ALM_00259,3,UAV_003,enter_no_fly_area,AREA_002,110.0
ALM_00260,3,UAV_004,enter_no_fly_area,AREA_002,110.0
ALM_00261,3,UAV_003,enter_no_fly_area,AREA_002,110.5
ALM_00262,3,UAV_004,enter_no_fly_area,AREA_002,110.5
ALM_00263,3,UAV_003,enter_no_fly_area,AREA_002,111.0
ALM_00264,3,UAV_004,enter_no_fly_area,AREA_002,111.0
ALM_00265,3,UAV_003,enter_no_fly_area,AREA_002,111.5
ALM_00266,3,UAV_004,enter_no_fly_area,AREA_002,111.5
ALM_00267,3,UAV_003,enter_no_fly_area,AREA_002,112.0
ALM_00268,3,UAV_004,enter_no_fly_area,AREA_002,112.0
ALM_00269,3,UAV_003,enter_no_fly_area,AREA_002,112.5
ALM_00270,3,UAV_004,enter_no_fly_area,AREA_002,112.5
ALM_00271,3,UAV_003,enter_no_fly_area,AREA_002,113.0
